time_delta,date_added,weight
,7/30/2019 20:25:00,77.0
,12/30/1899 15:25:00,
,7/30/2019 20:25:00,
24:35:00,,
,,
,2/8/2019 21:25:00,
,3/8/2019 15:45:00,
,4/8/2019 22:20:00,
,5/8/2019 14:15:00,
24:00:00,,
,8/7/2019 17:03,
17:07:00,8/8/2019,77.4
,8/9/2019,
,8/10/2019 11:00,
13:00:00,8/11/2019 2:10 AM,
21:50:00,8/12/2019 10:00 AM,
14:00:00,8/13/2019 12:36 PM,
11:24:00,8/14/2019 11:30 PM,
0:30:00,8/15/2019,
33:30:00,8/16/2019,
,8/17/2019 11:30 PM,
,8/18/2019 6:07 PM,
24:15:00,8/19/2019 10:10 PM,
1:50:00,8/20/2019 11:15 PM,
24:02:00,8/21/2019,
24:00:00,8/22/2019,
24:00:00,8/23/2019 17:00,
7:00:00,8/24/2019 16:30,
7:30:00,8/25/2019 11:25 PM,
0:35:00,8/26/2019 13:45,78.3
24:30:00,8/27/2019 22:15,
1:45:00,8/28/2019,
24:00:00,8/29/2019 11:58 PM,
24:01:00,8/30/2019,
24:00:00,8/31/2019 4:20 PM,
7:40:00,9/1/2019 5:10 PM,
6:50:00,9/2/2019 2:20 PM,
24:02:00,9/3/2019,78.4
24:00:00,9/4/2019 15:00,
9:00:00,9/5/2019 10:40 AM,
13:20:00,9/6/2019,
24:00:00,9/7/2019,
24:00:00,9/8/2019 4:15 PM,81.0
24:03:00,9/9/2019,
24:00:00,9/10/2019,
24:00:00,9/11/2019 3:05 PM,
8:55:00,9/12/2019,
24:00:00,9/13/2019 6:20 PM,
5:40:00,9/14/2019 4:00 PM,78.8
8:00:00,9/15/2019 6:00 PM,
16:01:00,9/16/2019 1:15 AM,
16:00:00,9/17/2019 10:00 PM,
17:10:00,9/18/2019 15:50,
17:50:00,9/19/2019 17:38,79.3
20:22:00,9/20/2019 7:55 PM,
16:01:00,9/21/2019 6:50 PM,
10:55:00,9/22/2019 20:00,
18:00:00,9/23/2019 3:25 PM,
19:09:00,9/24/2019 7:55 PM,
16:29:00,9/25/2019 23:20,
16:55:00,9/26/2019 8:00 PM,
19:54:00,9/27/2019 9:40 PM,
16:02:00,9/28/2019 5:40 PM,78.5
18:00:00,9/29/2019 8:30 PM,
17:30:00,9/30/2019 5:10 PM,
16:53:00,10/1/2019 3:40 PM,
24:00:00,10/2/2019 10:10 PM,
16:00:00,10/3/2019 10:00 PM,
16:01:00,10/4/2019 8:10 PM,
16:00:00,10/5/2019,
,10/6/2019 3:10 AM,
34:00:00,10/7/2019 3:30 PM,
17:33:00,10/8/2019 5:20 PM,78.6
20:00:00,10/9/2019 2:00 PM,
24:02:00,10/10/2019 10:00 PM,
17:45:00,10/11/2019 7:00 PM,
17:45:00,10/12/2019 6:15 PM,
16:38:00,10/13/2019 9:10 PM,
16:45:00,10/14/2019 4:35 PM,
17:40:00,10/15/2019 9:35 PM,
16:00:00,10/16/2019 2:30 PM,
24:50:00,10/17/2019 9:25 PM,
16:08:00,10/18/2019 11:56 PM,
0:04:00,10/19/2019 1:10 PM,
10:50:00,10/20/2019 11:58 PM,
22:56:00,10/21/2019 11:16 PM,
16:04:00,10/22/2019 9:25 PM,
18:00:00,10/23/2019 5:00 PM,
21:10:00,10/24/2019 10:15 PM,
18:25:00,10/25/2019 5:20 PM,
19:11:00,10/26/2019 8:10 PM,
16:20:00,10/27/2019 4:40 PM,
21:00:00,10/28/2019 5:05 PM,
17:13:00,10/29/2019 11:59 PM,
22:47:00,10/30/2019 11:05 PM,
16:57:00,10/31/2019 9:20 PM,
20:14:00,11/1/2019 9:58 PM,
16:01:00,11/2/2019 10:20 PM,
12:46:00,11/3/2019 12:45 PM,
11:15:00,11/4/2019 10:41 PM,
13:24:00,11/5/2019 9:47 PM,
16:09:00,11/6/2019 3:35 PM,
24:00:00,11/7/2019 10:00 PM,
18:20:00,11/8/2019 5:30 PM,
21:04:00,11/9/2019 10:55 PM,
17:19:00,11/10/2019 10:10 PM,
17:15:00,11/11/2019 11:05 PM,
16:01:00,11/12/2019 9:40 PM,
16:25:00,11/13/2019 23:05,
17:05:00,11/14/2019 10:30 PM,
16:22:00,11/15/2019 9:04 PM,
17:54:00,11/16/2019 11:20 PM,
16:22:00,11/17/2019 9:35 PM,80.0
15:35:00,11/18/2019 2:00 PM,
24:25:00,11/19/2019 9:30 PM,
